Duration,Sales,Commision,Age,Type_Travel Agency,Distribution_Online,Agency_encoded,Product_encoded,Destination_encoded,Claim
0.14393939393939395,0.32448377581120946,0.35063663075416257,0.3058823529411765,0.0,1.0,0.07998469787264566,0.064448940060803,0.0,0
0.06060606060606061,0.2359882005899705,0.16944172380019587,0.32941176470588235,0.0,1.0,1.0,0.8544339096486336,0.6513933547695605,0
0.030303030303030304,0.32448377581120946,0.35063663075416257,0.4588235294117647,0.0,1.0,0.07998469787264566,0.064448940060803,0.047261009667024706,0
0.7803030303030303,0.38348082595870203,0.4191968658178256,0.5647058823529412,0.0,1.0,0.07998469787264566,0.064448940060803,0.3819444444444445,0
0.09090909090909091,0.4424778761061947,0.48775710088148866,0.4117647058823529,0.0,1.0,0.07998469787264566,0.064448940060803,0.17647058823529413,1
0.2272727272727273,0.2359882005899705,0.16944172380019587,0.6823529411764706,0.0,1.0,1.0,0.8544339096486336,0.6513933547695605,1
0.06060606060606061,0.4424778761061947,0.48775710088148866,0.49411764705882355,0.0,1.0,0.07998469787264566,0.064448940060803,0.047261009667024706,0
0.015151515151515152,0.4424778761061947,0.34084231145935356,0.43529411764705883,0.0,1.0,1.0,1.0,0.6513933547695605,0
0.022727272727272728,0.3103244837758112,0.33398628795298724,0.5647058823529412,0.0,1.0,0.0,0.0,0.0,0
0.03787878787878788,0.38348082595870203,0.4191968658178256,0.3411764705882353,0.0,1.0,0.07998469787264566,0.064448940060803,0.0738255033557047,0
0.32575757575757575,0.4277286135693215,0.4422135161606268,0.09411764705882353,1.0,0.0,0.32978440244876234,0.25435360094451004,0.06779661016949153,0
0.12121212121212122,0.4505899705014749,0.34769833496571984,0.2588235294117647,0.0,1.0,1.0,0.8544339096486336,0.6513933547695605,0
0.19696969696969696,0.5162241887905604,0.5734573947110676,0.3176470588235294,0.0,1.0,0.07998469787264566,0.064448940060803,0.0738255033557047,0
0.06818181818181818,0.2654867256637168,0.28207639569049947,0.5764705882352941,0.0,1.0,0.07998469787264566,0.064448940060803,0.12692307692307692,0
0.17424242424242425,0.0,0.24926542605288932,0.29411764705882354,0.0,1.0,1.0,1.0,0.6513933547695605,0
0.3181818181818182,0.5162241887905604,0.5734573947110676,0.5058823529411764,0.0,1.0,0.07998469787264566,0.064448940060803,0.3819444444444445,0
0.07575757575757576,0.30973451327433627,0.23065621939275216,0.2588235294117647,0.0,1.0,1.0,0.8544339096486336,0.6513933547695605,0
0.17424242424242425,0.32448377581120946,0.35063663075416257,0.6705882352941176,0.0,1.0,0.07998469787264566,0.064448940060803,0.17647058823529413,0
0.07575757575757576,0.6637168141592921,0.7448579823702253,0.5294117647058824,0.0,1.0,0.07998469787264566,0.12148231686901972,0.0738255033557047,0
0.06818181818181818,0.5752212389380531,0.4510284035259549,0.36470588235294116,0.0,1.0,1.0,1.0,0.6513933547695605,0
0.06060606060606061,0.2588495575221239,0.18854064642507343,0.3529411764705882,0.0,1.0,1.0,0.8544339096486336,0.6513933547695605,0
0.08333333333333334,0.25073746312684364,0.18168462291870713,0.611764705882353,0.0,1.0,1.0,0.8544339096486336,0.6513933547695605,1
